word1;word2;count(word1);count(word2);count(bigram);PMI
Facebook;Twitter;1210;277;47;-0.18
сеть;Facebook;1417;1210;194;-0.2
вконтакте;Facebook;149;1210;11;-0.2
Twitter;Facebook;277;1210;23;-0.2
акция;Facebook;359;1210;10;-0.22
Facebook;появляться;1210;1019;30;-0.23
через;Facebook;905;1210;22;-0.23
Facebook;объявлять;1210;674;13;-0.23
страница;Facebook;1009;1210;21;-0.24
сайт;Facebook;1994;1210;21;-0.26
Facebook;группа;1210;2110;15;-0.27
пользователь;Facebook;1825;1210;12;-0.27
Facebook;или;1210;1841;10;-0.28
Facebook;о;1210;2237;13;-0.28
как;Facebook;4483;1210;35;-0.29
Facebook;а;1210;3320;21;-0.29
компания;Facebook;4232;1210;22;-0.3
Facebook;что;1210;6001;39;-0.3
Facebook;Google;1210;3491;11;-0.31
Google;Facebook;3491;1210;12;-0.31
на;Facebook;15689;1210;131;-0.33
Facebook;по;1210;5547;10;-0.34
Facebook;быть;1210;11401;39;-0.35
с;Facebook;10925;1210;17;-0.37
Facebook;и;1210;26428;131;-0.38
в;Facebook;38216;1210;260;-0.39
год;Facebook;12075;1210;12;-0.39
и;Facebook;26428;1210;74;-0.4
Facebook;на;1210;15689;15;-0.41
Facebook;в;1210;38216;56;-0.46
