Filename;tfidf_Precision;tfidf_Recall;tfidf_F;betw_Precision;betw_Recall;betw_F1;deg_Precision;deg_Recall;deg_F1;rake_Precision;rake_Recall;rake_F1
C-14;0.5;0.79;0.61;0.5;0.79;0.61;0.5;0.79;0.61;0.07;0.14;0.09
C-17 15.43.50;0.25;0.44;0.32;0.25;0.44;0.32;0.25;0.44;0.32;0.03;0.06;0.04
C-18 15.43.50;0.29;0.5;0.37;0.29;0.5;0.37;0.29;0.5;0.37;0.07;0.14;0.09
C-19 15.43.50;0.23;0.31;0.26;0.23;0.31;0.26;0.23;0.31;0.26;0.08;0.15;0.1
C-20 15.43.50;0.31;0.46;0.37;0.31;0.46;0.37;0.31;0.46;0.37;0.12;0.23;0.16
C-3;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.03;0.06;0.04
C-4;0.23;0.45;0.3;0.23;0.45;0.3;0.23;0.45;0.3;0.0;0.0;0.0
C-6;0.27;0.55;0.36;0.27;0.55;0.36;0.27;0.55;0.36;0.09;0.18;0.12
C-8;0.32;0.5;0.39;0.32;0.5;0.39;0.32;0.5;0.39;0.11;0.23;0.15
C-9;0.25;0.36;0.3;0.25;0.36;0.3;0.25;0.36;0.3;0.11;0.21;0.14
