word1;word2;count(word1);count(word2);count(bigram);count
Amazon;com;589;876;201;-0.17
на;Amazon;15689;589;48;-0.33
и;Amazon;26428;589;47;-0.38
сайт;Amazon;1994;589;40;-0.22
магазин;Amazon;479;589;38;-0.18
компания;Amazon;4232;589;36;-0.26
Amazon;и;589;26428;27;-0.4
Amazon;EC2;589;27;23;-0.14
Amazon;Kindle;589;120;21;-0.16
сервис;Amazon;1121;589;17;-0.22
как;Amazon;4483;589;16;-0.28
Amazon;в;589;38216;16;-0.47
Amazon;Web;589;140;14;-0.17
через;Amazon;905;589;12;-0.22
Amazon;S3;589;14;12;-0.14
iTunes;Amazon;393;589;11;-0.2
год;Amazon;12075;589;10;-0.36
Amazon;co;589;32;10;-0.15
