word1;word2;count(word1);count(word2);count(bigram);PMI
Google;Talk;3491;71;61;-0.18
Google;Apps;3491;35;27;-0.18
Google;Docs;3491;24;23;-0.18
Google;Calendar;3491;15;13;-0.18
Google;Analytics;3491;35;28;-0.18
Google;Scholar;3491;14;13;-0.18
Google;Checkout;3491;10;10;-0.18
Google;Translate;3491;17;11;-0.19
Google;Chrome;3491;277;204;-0.19
Google;Buzz;3491;17;10;-0.19
Google;Voice;3491;24;15;-0.19
Google;Earth;3491;102;71;-0.19
Google;Code;3491;80;43;-0.19
Google;Maps;3491;156;116;-0.19
Google;AdWords;3491;28;17;-0.19
Google;Summer;3491;38;28;-0.19
Google;Play;3491;150;114;-0.19
Google;Books;3491;26;15;-0.19
Google;AdSense;3491;26;15;-0.19
Google;Trends;3491;20;14;-0.19
Google;Wave;3491;53;35;-0.19
поисковик;Google;69;3491;20;-0.2
Google;Glass;3491;61;18;-0.2
Google;Street;3491;50;18;-0.2
Google;Desktop;3491;40;10;-0.2
Google;Reader;3491;36;13;-0.2
Google;Video;3491;57;15;-0.2
Google;Now;3491;40;13;-0.2
Google;планета;3491;78;20;-0.21
Google;News;3491;51;11;-0.21
академия;Google;91;3491;16;-0.21
Google;App;3491;169;24;-0.22
Google;Web;3491;140;19;-0.22
Google;Nexus;3491;137;17;-0.22
Google;Inc;3491;306;35;-0.23
карта;Google;612;3491;86;-0.23
Google;Yahoo;3491;210;19;-0.23
Google;Android;3491;656;84;-0.23
корпорация;Google;322;3491;39;-0.23
Firefox;Google;184;3491;15;-0.23
аккаунт;Google;176;3491;14;-0.23
Google;I;3491;276;30;-0.23
конференция;Google;220;3491;21;-0.23
Google;TV;3491;118;12;-0.23
представитель;Google;223;3491;12;-0.24
инструмент;Google;261;3491;12;-0.25
браузер;Google;706;3491;41;-0.25
сервис;Google;1121;3491;83;-0.25
сотрудник;Google;282;3491;13;-0.25
Google;приобретать;3491;314;15;-0.25
директор;Google;327;3491;15;-0.25
сервер;Google;471;3491;23;-0.25
поиск;Google;560;3491;35;-0.25
Google;яндекс;3491;283;12;-0.25
служба;Google;261;3491;11;-0.25
сообщество;Google;223;3491;11;-0.25
Google;предоставлять;3491;439;15;-0.26
Google;запускать;3491;340;10;-0.26
Google;заявлять;3491;534;16;-0.26
Google;объявлять;3491;674;32;-0.26
ос;Google;323;3491;11;-0.26
например;Google;843;3491;25;-0.27
компания;Google;4232;3491;302;-0.27
платформа;Google;718;3491;23;-0.27
система;Google;2487;3491;98;-0.28
технология;Google;770;3491;15;-0.28
приложение;Google;1342;3491;34;-0.28
проект;Google;1505;3491;36;-0.28
помощь;Google;704;3491;11;-0.28
разрабатывать;Google;807;3491;16;-0.28
Google;Microsoft;3491;791;18;-0.28
продукт;Google;519;3491;10;-0.28
Google;представлять;3491;1062;15;-0.29
программа;Google;1429;3491;23;-0.29
разработчик;Google;760;3491;10;-0.29
через;Google;905;3491;12;-0.29
сайт;Google;1994;3491;39;-0.3
Google;начинать;3491;1188;13;-0.3
от;Google;2872;3491;63;-0.3
Google;позволять;3491;1065;13;-0.3
данный;Google;1496;3491;14;-0.31
Google;создавать;3491;1317;11;-0.31
Google;Facebook;3491;1210;11;-0.31
как;Google;4483;3491;63;-0.32
или;Google;1841;3491;14;-0.32
Google;так;3491;1448;11;-0.32
Google;использовать;3491;1746;14;-0.32
Google;являться;3491;1747;14;-0.32
использовать;Google;1746;3491;15;-0.32
версия;Google;2475;3491;17;-0.33
Google;выпускать;3491;1888;10;-0.33
Google;Google;3491;3491;27;-0.34
группа;Google;2110;3491;10;-0.34
Google;также;3491;3609;18;-0.35
Google;по;3491;5547;33;-0.36
что;Google;6001;3491;35;-0.36
Google;не;3491;4591;25;-0.36
Google;а;3491;3320;14;-0.36
из;Google;4399;3491;21;-0.36
год;Google;12075;3491;104;-0.38
с;Google;10925;3491;57;-0.39
Google;который;3491;5265;14;-0.39
для;Google;7791;3491;23;-0.4
Google;для;3491;7791;22;-0.4
Google;быть;3491;11401;39;-0.41
на;Google;15689;3491;69;-0.42
Google;с;3491;10925;24;-0.43
Google;и;3491;26428;139;-0.45
и;Google;26428;3491;127;-0.45
Google;на;3491;15689;34;-0.45
в;Google;38216;3491;158;-0.49
Google;в;3491;38216;111;-0.51
